SIZE,PARTS,WORKER,Run1,Run2
16,1,1,,
16,4,1,,
16,4,2,,
16,4,4,519,401
16,16,4,3354,3270
16,16,8,2891,2639
16,16,16,2261,2220
32,1,1,,
32,4,1,,
32,4,2,,
32,4,4,491,484
32,16,4,3453,3428
32,16,8,3229,2694
32,16,16,2271,2020
32,64,16,15252,12730
32,64,32,12078,12446
32,64,64,8464,8368
48,1,1,,
48,4,1,,
48,4,2,,
48,4,4,1112,1202
48,16,4,3312,3037
48,16,8,3280,3266
48,16,16,2355,2210
48,36,9,7339,7455
48,36,18,8029,7916
48,36,36,4433,4744
48,64,16,13886,15968
48,64,32,12319,12389
48,64,64,8501,8766
64,1,1,,
64,4,1,,
64,4,2,,
64,4,4,3980,3511
64,16,4,3631,3648
64,16,8,3371,2818
64,16,16,2615,2470
64,64,16,13291,16387
64,64,32,12506,12181
64,64,64,8749,9224
80,1,1,,
80,4,1,,
80,4,2,,
80,4,4,8845,8780
80,16,4,3970,3723
80,16,8,3418,3371
80,16,16,2467,2309
80,64,16,15147,15091
80,64,32,12974,12135
80,64,64,8783,8327
96,1,1,,
96,4,1,,
96,4,2,,
96,4,4,19750,17483
96,36,9,7815,6384
96,36,18,7378,8004
96,36,36,4726,4893
112,1,1,,
112,4,1,,
112,4,2,,
112,4,4,37688,36220
112,16,4,7917,8214
112,16,8,5457,5129
112,16,16,2961,3088
112,64,16,17093,14926
112,64,32,12561,12765
112,64,64,8571,9133
112,196,49,44911,44733
112,196,98,40982,40951
112,196,196,35770,34587
112,256,64,48543,60636
112,256,128,55954,56492
112,256,256,47959,48092
128,1,1,,
128,4,1,,
128,4,2,,
128,4,4,63911,62161
128,16,4,11759,12937
128,16,8,7792,7446
128,16,16,4705,4574
128,64,16,16364,16725
128,64,32,12884,13076
128,64,64,8798,8777
128,256,64,51058,49916
128,256,128,54470,53035
128,256,256,47033,47834
144,1,1,,
144,4,1,,
144,4,2,,
144,4,4,104423,101729
144,16,4,21623,19917
144,16,8,12061,10870
144,16,16,6018,6123
144,64,16,16805,16816
144,64,32,12443,12542
144,64,64,9125,8966
144,144,36,30762,26566
144,144,72,30423,29511
144,144,144,24456,24671
144,256,64,59836,61703
144,256,128,55278,55360
144,256,256,48841,48221
160,1,1,,
160,4,1,,
160,4,2,,
160,4,4,166319,154323
160,16,4,33317,30914
160,16,8,17262,17511
160,16,16,9305,8965
160,64,16,16381,15467
160,64,32,12917,13025
160,64,64,9236,9404
160,100,25,18430,22630
160,100,50,20250,20148
160,100,100,15349,14974
160,256,64,49278,59765
160,256,128,54963,56008
160,256,256,49347,47470
176,1,1,,
176,4,1,,
176,4,2,,
176,4,4,238027,224979
176,16,4,46788,45101
176,16,8,25915,25411
176,16,16,12627,12747
176,64,16,16396,16638
176,64,32,12400,13455
176,64,64,9410,9417
176,256,64,56150,56650
176,256,128,55049,56964
176,256,256,47169,48324
192,1,1,,
192,4,1,,
192,4,2,,
192,4,4,337115,324800
192,16,4,66661,64405
192,16,8,38278,35133
192,16,16,19722,17756
192,64,16,14413,15997
192,64,32,13368,13210
192,64,64,9730,9733
192,144,36,30469,29961
192,144,72,28867,30518
192,144,144,25016,24625
192,256,64,55980,43978
192,256,128,56243,54812
192,256,256,47609,48836
208,1,1,,
208,4,1,,
208,4,2,,
208,4,4,495692,447615
208,16,4,99839,98335
208,16,8,52780,49603
208,16,16,23579,25167
208,64,16,15665,16662
208,64,32,12891,13693
208,64,64,9882,9841
208,256,64,53926,49735
208,256,128,56700,56271
208,256,256,48539,48964
224,1,1,,
224,4,1,,
224,4,2,,
224,4,4,675703,635501
224,16,4,140953,125453
224,16,8,71504,66209
224,16,16,37114,35294
224,64,16,17095,14516
224,64,32,13403,13700
224,64,64,9756,9773
224,196,49,46056,45377
224,196,98,40681,41519
224,196,196,34268,34093
224,256,64,55887,57752
224,256,128,56314,58357
224,256,256,48911,47935
240,1,1,,
240,4,1,,
240,4,2,,
240,4,4,879376,854695
240,16,4,180317,179810
240,16,8,97072,90455
240,16,16,51368,49192
240,64,16,14469,19033
240,64,32,14033,13715
240,64,64,10471,10535
240,100,25,23462,24549
240,100,50,19715,20051
240,100,100,15779,15718
240,256,64,51562,56095
240,256,128,57117,53721
240,256,256,48884,48142
256,1,1,,
256,4,1,,
256,4,2,,
256,4,4,1099653,1072927
256,16,4,238245,234253
256,16,8,128264,124429
256,16,16,64408,58757
256,64,16,18041,17464
256,64,32,15058,15609
256,64,64,10680,10553
256,256,64,51584,55462
256,256,128,56363,57736
256,256,256,49638,47459
