SIZE,PARTS,WORKER
32,1,1
32,4,1
32,4,2
32,4,4
32,16,1
32,16,2
32,16,4
32,16,8
32,16,16
32,64,1
32,64,2
32,64,4
32,64,8
32,64,16
32,64,32
32,64,64
64,1,1
64,4,1
64,4,2
64,4,4
64,16,1
64,16,2
64,16,4
64,16,8
64,16,16
64,64,1
64,64,2
64,64,4
64,64,8
64,64,16
64,64,32
64,64,64
64,256,1
64,256,2
64,256,4
64,256,8
64,256,16
64,256,32
64,256,64
64,256,128
64,256,256
128,1,1
128,4,1
128,4,2
128,4,4
128,16,1
128,16,2
128,16,4
128,16,8
128,16,16
128,64,1
128,64,2
128,64,4
128,64,8
128,64,16
128,64,32
128,64,64
128,256,1
128,256,2
128,256,4
128,256,8
128,256,16
128,256,32
128,256,64
128,256,128
128,256,256
128,1024,1
128,1024,2
128,1024,4
128,1024,8
128,1024,16
128,1024,32
128,1024,64
128,1024,128
128,1024,256
128,1024,512
128,1024,1024
